,NAME,WEBSITE_LINK,AVG_DEBT,AVG_MONTHLY_REPAY,FINANCIAL_AID_CALC,SCHOOL_MEDIAN_EARNINGS,NATIONAL_4_YEAR_MEDIAN,EARNINGS_VS_HS_GRAD,WHITE_POP,BLACK_POP,HISPANIC_POP,ASIAN_POP,INDIGENOUS_POP,HAWAIIAN/PACIFIC_ISLANDER_POP,MULTIRACIAL_POP,UNKNOWN_RACE_POP,INTERNATIONAL_POP,COST_AFTER_AID_0_30,COST_AFTER_AID_30_48,COST_AFTER_AID_48_75,COST_AFTER_AID_75_110,COST_AFTER_AID_110,MONTHLY_REPAY_PERCENTAGE
3057,Nashville State Community College,https://www.nscc.edu/,9595,101.722968626693,https://www.nscc.edu/tuition-and-aid/tuition-and-fees.php,38519.0,40241.5,0.5528,0.4572,0.292,0.1335,0.0412,0.0018,0.0028,0.0434,0.0219,0.0062,6056.0,6506.0,7494.0,9216.0,10504.0,0.031690221021322365
3058,Tennessee College of Applied Technology Northwest,https://www.tcatnorthwest.edu/,PS,PS,https://tcatnorthwest.edu/future-students/net-price-calculator,38514.0,31213.0,0.5897,0.7107,0.1321,0.0821,0.0,0.0036,0.0,0.0214,0.05,0.0,7839.0,9438.0,,11492.0,,
3059,Tennessee College of Applied Technology-Henry/Carroll,https://www.tcathenrycarroll.edu/,PS,PS,https://tcathenrycarroll.edu/future-students/net-price-calculator,29074.0,31213.0,0.4537,0.8118,0.0765,0.0235,0.0059,0.0118,0.0,0.0529,0.0176,0.0,5218.0,8897.0,8209.0,,,
3060,Tennessee College of Applied Technology-Pulaski,www.tcatpulaski.edu/,PS,PS,https://tcatpulaski.edu/future-students/net-price-calculator,40368.0,31213.0,0.5938,0.8094,0.0755,0.0576,0.0072,0.0108,0.0036,0.0324,0.0036,0.0,8919.0,5694.0,13775.0,13863.0,,
3061,Rhodes College,www.rhodes.edu/,21761,230.702816079778,https://npc.collegeboard.org/student/app/rhodes,66651.0,53747.0,0.7797,0.6368,0.0982,0.06,0.0717,0.001,0.001,0.0595,0.0127,0.059,11115.0,15157.0,19473.0,27457.0,33526.0,0.04153626791732061
3062,Tennessee College of Applied Technology-Ripley,www.tcatripley.edu/,PS,PS,https://tcatripley.edu/future-students/net-price-calculator,35272.0,31213.0,0.5263,0.3114,0.6108,0.0419,0.0,0.0,0.0,0.0299,0.006,0.0,11763.0,14219.0,,,,
3063,Roane State Community College,www.roanestate.edu/,8454,89.6264696998503,www.roanestate.edu/pages/fa/netPriceCalculator/2019/index.html,39407.0,40241.5,0.5706,0.8585,0.0276,0.0481,0.0075,0.0013,0.0007,0.0332,0.0195,0.0036,2877.0,2850.0,4903.0,5156.0,6536.0,0.027292553008303185
3064,Tennessee College of Applied Technology-Crump,www.tcatcrump.edu/,PS,PS,www.tcatcrump.edu/future-students/net-price-calculator,30796.0,31213.0,0.599,0.8584,0.0578,0.0376,0.0029,0.0,0.0,0.0231,0.0173,0.0029,1215.0,354.0,2065.0,,,
3065,Southwest Tennessee Community College,www.southwest.tn.edu/,PS,PS,https://eas.southwest.tn.edu/request/netprice/20210514/index.html,34071.0,40241.5,0.5048,0.2532,0.5895,0.0909,0.0227,0.0016,0.0014,0.0278,0.0063,0.0065,4964.0,5789.0,7191.0,7403.0,7760.0,
3066,Tennessee College of Applied Technology-Shelbyville,www.tcatshelbyville.edu/,PS,PS,www.tcatshelbyville.edu/future-students/net-price-calculator,38700.0,31213.0,0.6677,0.7639,0.0579,0.1042,0.0046,0.0,0.0,0.0394,0.0208,0.0093,4073.0,5432.0,6024.0,9876.0,,
3067,The University of the South,www.sewanee.edu/,22855,242.301036786146,https://www.collegenpc.com/sewanee,64911.0,53747.0,0.7818,0.8061,0.0425,0.06,0.0106,0.0019,0.0,0.0288,0.0038,0.0463,11650.0,13107.0,14871.0,20658.0,36038.0,0.044793832192290245
3068,Tennessee College of Applied Technology-Oneida-Huntsville,https://tcatoneida.edu/,PS,PS,https://tcatoneida.edu/future-students/net-price-calculator,31949.0,31213.0,0.5542,0.9182,0.0,0.0126,0.0,0.0252,0.0,0.0189,0.0252,0.0,4311.0,5497.0,3123.0,,,
3069,Tennessee College of Applied Technology-Crossville,www.tcatcrossville.edu/,PS,PS,tcatcrossville.edu/future-students/net-price-calculator,35551.0,31213.0,0.5277,0.8864,0.0114,0.0568,0.0,0.0057,0.0,0.0313,0.0085,0.0,12322.0,15213.0,11717.0,,,
3070,Tennessee College of Applied Technology-McMinnville,tcatmcminnville.edu/,PS,PS,https://tcatmcminnville.edu/future-students/net-price-calculator,40322.0,31213.0,0.6201,0.8677,0.0311,0.0623,0.0,0.0,0.0,0.0233,0.0156,0.0,5380.0,9114.0,,,,
3071,Tennessee College of Applied Technology-Jackson,www.tcatjackson.edu/,PS,PS,tcatjackson.edu/future-students/net-price-calculator,38383.0,31213.0,0.56,0.5315,0.3056,0.0759,0.0019,0.0037,0.0,0.0259,0.0167,0.0389,9367.0,8487.0,8944.0,13963.0,,
3072,Tennessee College of Applied Technology-Knoxville,https://www.tcatknoxville.edu/,PS,PS,https://tcatknoxville.edu/future-students/net-price-calculator,37235.0,31213.0,0.5357,0.6963,0.127,0.0746,0.0013,0.0065,0.0,0.0484,0.0327,0.0131,5770.0,9084.0,8271.0,,,
3073,Pellissippi State Community College,www.pstcc.edu/,8725,92.4995207157788,https://nces.ed.gov/ipeds/netpricecalculator/#/,38440.0,40241.5,0.554,0.7692,0.0641,0.0852,0.0226,0.0035,0.0013,0.0356,0.0125,0.006,4437.0,5146.0,6442.0,8068.0,9094.0,0.028876021035102645
3074,Southern Adventist University,www.southern.edu/,24500,259.74077450276,www.southern.edu/undergrad/finances/cost-calculator.html#!#st,53723.0,53747.0,0.7194,0.3944,0.0603,0.2698,0.1312,0.0012,0.0025,0.0709,0.0025,0.0672,17953.0,20293.0,22610.0,26384.0,28566.0,0.058017781844519487
3075,Southern College of Optometry,https://www.sco.edu/,PS,PS,https://www.sco.edu/debt-calculator,,,,,,,,,,,,,,,,,,
3076,Tennessee Wesleyan University,www.tnwesleyan.edu/,20000,212.033285308375,https://www.tnwesleyan.edu/tuition-aid/true-cost-calculator.php,45989.0,53747.0,0.7197,0.7395,0.0684,0.0486,0.011,0.0022,0.0011,0.0287,0.0243,0.0762,11805.0,11738.0,12349.0,15749.0,17930.0,0.055326261142892866
